id,name,address,city,state,zipcode,phone,email,type,grades,latitude,longitude
7073,Academy for Advanced Academics - North,3000 NE 151st St,North Miami,FL,33181,305-919-4450,,S,11-12,25.91024,-80.13947
7073,Academy for Advanced Academics - South,11200 SW 8th St,Miami-Dade,FL,33199,305-348-7041,,S,11-12,25.75807,-80.37702
3191,Ada Merritt K-8 Center,660 SW 3rd St,Miami,FL,33130,305-326-0791,,E,K-8,25.77055,-80.20483
4071,Agenoria S. Paschal/ Olinda Elementary School,5536 NW 21st Ave,Miami-Dade,FL,33142,305-633-0308,,E,PK-5,25.82589,-80.23118
0041,Air Base K-8 Center for International Education,12829 SW 272nd St,Miami-Dade,FL,33032,305-258-3676,,E,PK-8,25.51481,-80.39867
7048,Alonzo and Tracy Mourning Senior High,2601 NE 151st St,North Miami,FL,33160,305-919-2000,,S,9-12,25.91647,-80.14704
8014,Alternative Outreach-Ext. YR,5120 NW 24th Ave,Miami,FL,33142,305-694-4444  ,,O,0,25.82146,-80.23747
1521,Amelia Earhart Elementary,5987 E 7th Ave,Hialeah,FL,33013,305-688-9619,,E,PK-5,25.87686,-80.26825
7011,American Senior High,18350 NW 67th Ave,Miami-Dade,FL,33015,305-557-3770,,S,9-12,25.93962,-80.30851
7012,American Senior High Adult Education,18350 NW 67th Ave,Miami-Dade,FL,33015,305-557-3770,,O, ,25.93941,-80.30756
6023,Andover Middle,121 NE 207th St,Miami Gardens,FL,33179,305-654-2727,,M,6-8,25.96623,-80.1992
3881,Andrea Castillo Preparatory Academy,10201 NW 78th St,Doral,FL,33178,305-593-3155,,E,PK-5,25.84453,-80.36295
9606,Anna Brenner Meyers Telecommunication Complex,172 NE 15th St,Miami,FL,33132,305-995-1717,,A,0,25.78929,-80.19188
0341,Arch Creek Elementary,702 NE 137th St,North Miami,FL,33161,305-892-4000,,E,PK-5,25.90097,-80.18436
0101,Arcola Lake Elementary,1037 NW 81st St,Miami-Dade,FL,33150,305-836-2820,,E,PK-5,25.84918,-80.21402
7351,Arthur & Polly Mays Conservatory of The Arts,11700 SW 216th St,Miami-Dade,FL,33170,305-233-2300,,S,6-12,25.56591,-80.37998
6021,Arvida Middle,10900 SW 127th Ave,Miami-Dade,FL,33186,305-385-7144,,M,6-8,25.66654,-80.40116
0121,Auburndale Elementary,3255 SW 6th St,Miami,FL,33135,305-445-3587,,E,PK-5,25.76693,-80.2481
0121,Auburndale Elementary PLC-H1,3255 SW 6th St,Miami,FL,33135,305-445-3587,,PLC,0,25.7672,-80.25064
0231,Aventura Waterways K-8 Center,21101 NE 26th Ave,Miami-Dade,FL,33180,305-933-5200,,E,K-8,25.97057,-80.14945
0231,Aventura Waterways K-8 Center (Annex),750 Ives Dairy Rd,Miami-Dade,FL,33179,305-933-5200,,E,K-8,25.95972,-80.18733
0161,Avocado Elementary,16969 SW 294th St,Miami-Dade,FL,33030,305-247-4942,,E,PK-3,25.49404,-80.46612
0201,Banyan Elementary,3060 SW 85th Ave,Miami-Dade,FL,33155,305-221-4011,,E,PK-5,25.74118,-80.33393
7751,Barbara Goleman Senior High,14100 NW 89th Ave,Miami Lakes,FL,33018,305-362-0676,,S,9-12,25.90122,-80.34576
3781,Barbara Hawkins Elementary,19010 NW 37th Ave,Miami Gardens,FL,33056,305-624-2615,,E,PK-5,25.94668,-80.26205
0261,Bel-Aire Elementary,10205 SW 194th St,Cutler Bay,FL,33157,305-233-5401,,E,PK-5,25.58789,-80.35582
5021,Ben Sheppard Elementary,5700 W 24th Ave,Hialeah,FL,33016,305-556-2204,,E,PK-5,25.87422,-80.33175
5021,Ben Sheppard Elementary PLC-V,5601 W 24th Ave,Hialeah,FL,33016,305-818-7984,,PLC,0,25.8738,-80.33083
